index,bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,id,CreatedDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,purchaseDate
9,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250.0,3.0,FINISHED,20.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a7214ada100056b,2021-01-03 08:25:31.000,2021-01-03 08:25:31.000,2021-01-03 08:25:31.000,2021-01-03 08:25:36.000,2021-01-03 08:25:31.000,2021-01-02 17:00:00
10,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100.0,1.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c50a720f052300056c,2021-01-03 08:24:53.000,2021-01-03 08:24:53.000,2021-01-03 08:24:53.000,2021-01-03 08:24:53.000,2021-01-03 08:24:53.000,2021-01-02 08:24:53
11,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,5.0,FINISHED,50.00,5ff1e194b6a9d73a3a9f1052,5ff1e1a10a720f0523000568,2021-01-03 08:24:17.000,2021-01-03 08:24:17.000,2021-01-03 08:39:20.000,2021-01-03 08:39:20.000,2021-01-03 08:24:19.000,2021-01-01 17:00:00
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 08:24:38.000,2021-01-03 08:24:38.000,,2021-01-03 08:24:38.000,,2021-02-03 08:24:38
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 13:17:59.000,2020-10-30 13:17:59.000,,2021-01-03 08:24:54.000,2020-10-30 13:18:00.000,2020-10-29 13:17:59
14,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300.0,1.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b20a7214ada100055a,2021-01-03 08:24:34.000,2021-01-03 08:24:34.000,2021-01-03 08:24:35.000,2021-01-03 08:24:35.000,2021-01-03 08:24:35.000,2021-02-03 08:24:35
15,,,,0.0,FLAGGED,0.00,5ff1e1e9b6a9d73a3a9f10f6,5ff1e1e90a7214ada1000569,2021-01-03 08:25:29.000,2021-01-03 08:25:29.000,,2021-01-03 08:25:29.000,,
15,,,,0.0,FLAGGED,0.00,5ff1e1e9b6a9d73a3a9f10f6,5ff1e1e90a7214ada1000569,2021-01-03 08:25:29.000,2021-01-03 08:25:29.000,,2021-01-03 08:25:29.000,,
16,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,2.0,FINISHED,11.00,5ff1e1dfcfcf6c399c274ab3,5ff1e1df0a7214ada1000564,2021-01-03 08:25:19.000,2021-01-03 08:25:19.000,2021-01-03 08:25:20.000,2021-01-03 08:25:25.000,2021-01-03 08:25:19.000,2021-01-02 08:25:19
16,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,2.0,FINISHED,11.00,5ff1e1dfcfcf6c399c274ab3,5ff1e1df0a7214ada1000564,2021-01-03 08:25:19.000,2021-01-03 08:25:19.000,2021-01-03 08:25:20.000,2021-01-03 08:25:25.000,2021-01-03 08:25:19.000,2021-01-02 08:25:19
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 08:24:36.000,2021-01-03 08:24:36.000,,2021-01-03 08:24:37.000,2021-01-03 08:24:36.000,2021-01-02 08:24:36
18,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300.0,2.0,FINISHED,26.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000576,2021-01-03 08:25:31.000,2021-01-03 08:25:31.000,2021-01-03 08:25:32.000,2021-01-03 08:25:36.000,2021-01-03 08:25:32.000,2021-01-02 17:00:00
19,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c80a720f052300056d,2021-01-03 08:24:56.000,2021-01-03 08:24:56.000,2021-01-03 08:25:02.000,2021-01-03 08:25:02.000,2021-01-03 08:24:56.000,2021-01-02 08:24:56
19,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c80a720f052300056d,2021-01-03 08:24:56.000,2021-01-03 08:24:56.000,2021-01-03 08:25:02.000,2021-01-03 08:25:02.000,2021-01-03 08:24:56.000,2021-01-02 08:24:56
20,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6.0,FINISHED,14.00,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,2020-10-30 13:18:01.000,2020-10-30 13:18:01.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2020-10-29 13:18:01
20,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6.0,FINISHED,14.00,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,2020-10-30 13:18:01.000,2020-10-30 13:18:01.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2020-10-29 13:18:01
20,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6.0,FINISHED,14.00,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,2020-10-30 13:18:01.000,2020-10-30 13:18:01.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2020-10-29 13:18:01
20,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6.0,FINISHED,14.00,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,2020-10-30 13:18:01.000,2020-10-30 13:18:01.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2020-10-29 13:18:01
20,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6.0,FINISHED,14.00,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,2020-10-30 13:18:01.000,2020-10-30 13:18:01.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2021-01-03 08:39:55.000,2020-10-29 13:18:01
21,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FINISHED,1.00,5ff1e196cfcf6c399c274a38,5ff1e1960a720f0523000567,2021-01-03 08:24:06.000,2021-01-03 08:24:06.000,2021-01-03 08:24:10.000,2021-01-03 08:24:10.000,2021-01-03 08:24:10.000,2021-01-02 08:24:06
22,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,21.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ec0a7214ada100056c,2021-01-03 08:25:32.000,2021-01-03 08:25:32.000,2021-01-03 08:25:32.000,2021-01-03 08:25:37.000,2021-01-03 08:25:32.000,2021-01-02 17:00:00
23,40.0,COMPLETE_PARTNER_RECEIPT,185.0,2.0,FINISHED,2.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d70a720f0523000571,2021-01-03 08:25:11.000,2021-01-03 08:25:11.000,2021-01-03 08:25:12.000,2021-01-03 08:25:12.000,2021-01-03 08:25:12.000,2021-01-02 08:25:11
23,40.0,COMPLETE_PARTNER_RECEIPT,185.0,2.0,FINISHED,2.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d70a720f0523000571,2021-01-03 08:25:11.000,2021-01-03 08:25:11.000,2021-01-03 08:25:12.000,2021-01-03 08:25:12.000,2021-01-03 08:25:12.000,2021-01-02 08:25:11
24,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c60a7214ada100055e,2021-01-03 08:24:54.000,2021-01-03 08:24:54.000,2021-01-03 08:24:59.000,2021-01-03 08:24:59.000,2021-01-03 08:24:54.000,2021-01-02 08:24:54
24,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c60a7214ada100055e,2021-01-03 08:24:54.000,2021-01-03 08:24:54.000,2021-01-03 08:24:59.000,2021-01-03 08:24:59.000,2021-01-03 08:24:54.000,2021-01-02 08:24:54
25,5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,27.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada1000570,2021-01-03 08:25:34.000,2021-01-03 08:25:34.000,2021-01-03 08:25:35.000,2021-01-03 08:25:40.000,2021-01-03 08:25:35.000,2021-01-02 17:00:00
26,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1cf0a720f0523000570,2021-01-03 08:25:03.000,2021-01-03 08:25:03.000,2021-01-03 08:25:09.000,2021-01-03 08:25:09.000,2021-01-03 08:25:03.000,2021-01-02 08:25:03
26,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1cf0a720f0523000570,2021-01-03 08:25:03.000,2021-01-03 08:25:03.000,2021-01-03 08:25:09.000,2021-01-03 08:25:09.000,2021-01-03 08:25:03.000,2021-01-02 08:25:03
27,25.0,COMPLETE_NONPARTNER_RECEIPT,35.0,1.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1e10a720f0523000572,2021-01-03 08:25:21.000,2021-01-03 08:25:21.000,2021-01-03 08:25:21.000,2021-01-03 08:25:26.000,2021-01-03 08:25:21.000,2021-01-02 08:25:21
28,,,,3.0,REJECTED,3.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d40a7214ada1000562,2021-01-03 08:25:08.000,2021-01-03 08:25:08.000,,2021-01-03 08:25:08.000,,2017-10-29 17:00:00
28,,,,3.0,REJECTED,3.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d40a7214ada1000562,2021-01-03 08:25:08.000,2021-01-03 08:25:08.000,,2021-01-03 08:25:08.000,,2017-10-29 17:00:00
29,5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,27.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a720f0523000578,2021-01-03 08:25:34.000,2021-01-03 08:25:34.000,2021-01-03 08:25:34.000,2021-01-03 08:25:39.000,2021-01-03 08:25:34.000,2021-01-02 17:00:00
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 12:48:19.000,2021-01-04 12:48:19.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2020-12-19 17:00:00
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 12:48:19.000,2021-01-04 12:48:19.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2020-12-19 17:00:00
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 12:48:19.000,2021-01-04 12:48:19.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2020-12-19 17:00:00
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 12:48:19.000,2021-01-04 12:48:19.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2020-12-19 17:00:00
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 12:48:19.000,2021-01-04 12:48:19.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2020-12-19 17:00:00
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 12:48:19.000,2021-01-04 12:48:19.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2020-12-19 17:00:00
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 12:48:19.000,2021-01-04 12:48:19.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2021-01-04 12:48:20.000,2020-12-19 17:00:00
